state,code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ANDHRA PRADESH,AP,,6412,8335,10319,9097,9607,10757,11201,12756,14299,16477,18880,18382,18921,20819,21484,24738,24111,25569,27244,28246,28171,32809,30648,31066,31736
ARUNACHAL PRADESH,ARP,,91,59,85,68,106,104,125,151,143,180,159,139,148,150,168,185,175,164,190,171,201,288,351,384,367
ASSAM,AS,,1520,1491,1545,2831,2793,3407,3388,3504,3723,4243,5092,5312,5700,6027,6801,6844,8122,9721,11555,11503,13544,17449,19139,23258,20869
BIHAR,BI,,1946,1896,2773,3790,5349,5888,7105,6706,6299,5356,5743,5900,8091,6019,6740,7548,8662,8803,8471,10231,11229,13609,15383,13891,13400
CHHATTISGARH,CH,,0,0,0,0,0,0,0,0,0,3989,8182,3336,3763,3599,3757,3775,3962,4002,4176,4219,4228,7012,6255,5720,5947
GOA,GO,,93,93,79,143,82,187,109,103,100,83,76,121,132,121,96,80,130,164,140,127,200,440,488,365,371
GUJARAT,GJ,,4258,3431,3775,4392,5139,5809,6658,5694,6140,5805,5373,5735,6211,6343,7279,8260,8616,8009,8148,8815,9561,12283,10837,7762,8532
HARYANA,HR,,1612,1640,1779,2042,2335,2314,3002,3248,3311,3393,4385,4170,4276,4161,4617,4645,5142,5312,5562,5491,6002,9089,8974,9446,9839
HIMACHAL PRADESH,HP,,609,729,737,781,803,801,778,784,842,890,838,729,823,793,792,1018,979,954,1028,997,912,1478,1517,1289,1222
JAMMU & KASHMIR,JK,,939,907,901,812,1210,1523,1715,1542,1634,1656,2016,2164,2208,2144,2432,2521,2295,2624,2611,3146,3328,3509,3321,3363,2850
JHARKHAND,JH,,0,0,0,0,0,0,0,0,2229,2490,2488,2490,2544,2979,3317,3183,3021,3087,3132,4536,6506,5972,6518,5453,
KARNATAKA,KT,,2540,3002,5282,5685,5379,5679,5516,5633,5852,6002,6170,5834,5423,6057,6084,6569,6891,7852,8807,9594,10366,12027,13914,12705,14131
KERALA,KR,,1146,1191,1609,2063,2916,4134,4799,4838,4982,5450,5829,5653,6483,6762,7554,7837,8117,8049,9463,11288,10930,11216,11380,9708,10034
MADHYA PRADESH,MP,,12434,11378,13509,15358,14959,16170,15865,17076,17902,14549,15620,14547,15203,14529,14321,15370,14908,15827,16468,16599,16832,22061,28678,24135,26604
MAHARASHTRA,MH,,11951,13913,13568,16340,16567,16270,14266,13610,13177,12524,11322,11273,12169,13370,14452,14924,15862,15048,15737,15728,16353,24895,26693,31126,31388
MANIPUR,MN,,160,107,86,101,94,85,86,65,74,112,170,137,134,140,171,188,211,194,190,247,304,285,337,266,253
MEGHALAYA,MY,,44,43,58,39,72,87,71,54,69,66,71,69,113,131,176,172,208,237,261,269,255,343,388,334,372
MIZORAM,MZ,,87,78,78,100,104,110,141,145,133,126,154,147,91,95,125,151,162,150,170,167,199,177,258,158,120
NAGALAND,NL,,2,1,6,27,43,44,32,19,22,30,26,25,30,37,43,32,47,46,41,38,51,67,67,90,105
ODISHA,OD,,1818,2131,2213,3344,4163,4453,4450,4716,4717,5357,4779,4946,5239,6249,6825,7304,8303,8120,8501,9433,11988,14173,14606,17144,17837
PUNJAB,PJ,,341,400,520,614,910,951,1238,1538,2156,2361,2295,2375,1955,1969,2242,2694,2627,2631,2853,2641,3238,4994,5425,5291,5105
RAJASTHAN,RJ,,7093,7160,7462,9422,10575,11221,12159,12974,12942,12175,12049,11812,13127,11657,12934,14270,14491,17316,18182,19888,21106,27933,31151,28165,27422
SIKKIM,SK,,29,28,43,45,65,50,37,28,21,24,28,37,49,62,47,55,48,41,42,55,68,93,110,53,153
TAMIL NADU,TN,,2383,2471,8011,8774,9232,9044,11201,12670,13732,10111,9798,8888,9332,8648,6489,7811,7220,6051,6708,6940,7192,7475,6325,5847,4463
TRIPURA,TR,,284,266,240,261,313,325,319,300,330,438,536,537,670,840,964,1067,1416,1517,1678,1358,1559,1628,1615,1267,1013
UTTAR PRADESH,UP,,12873,14048,15914,11976,13614,11849,17497,16912,18920,20227,15647,12840,15485,14875,16375,20993,23569,23254,20169,22639,23569,32546,38467,35527,49262
UTTARAKHAND,UT,,0,0,0,0,0,0,0,0,0,749,870,886,988,786,1038,1097,1151,1188,1074,996,1067,1719,1395,1453,1588
WEST BENGAL,WB,,3844,4978,5984,6382,6453,7023,6811,6931,7043,6570,6842,8508,11047,11887,12785,16544,20912,23307,26125,29133,30942,29826,38299,33218,32513
A & N ISLANDS,AN,,28,57,35,25,25,27,26,36,45,34,27,22,27,22,36,56,80,92,85,51,49,106,115,136,108
CHANDIGARH,CD,,82,82,124,62,70,83,97,152,161,150,189,159,188,205,224,230,143,150,141,156,241,488,432,463,414
D & N HAVELI,DNH,,11,10,15,17,21,15,17,18,17,19,15,13,22,24,32,18,28,20,30,18,16,21,21,25,28
DAMAN & DIU,DD,,4,6,0,2,3,1,2,11,6,10,8,10,7,10,9,11,15,13,14,11,11,24,15,28,41
DELHI,DL,,3680,3482,1780,1828,2573,2725,2556,3428,2439,2291,2216,3282,3677,4351,4544,4804,3938,4251,4518,5234,5959,12888,15265,17104,15310
LAKSHADWEEP,LP,,0,0,0,0,0,0,2,0,1,0,2,4,1,0,1,5,4,1,1,0,2,3,4,9,9
PUDUCHERRY,PY,,760,541,418,50,48,79,69,129,132,119,141,121,110,127,149,179,129,106,115,89,61,86,77,80,95
