S. no.,name of the States/uts,1st  Installment (Rupees in lakh)
A,,
1,Andhra Pradesh,189.1455
2,Arunachal Pradesh,31.176
3,Assam,250.9785
4,Bihar,353.9475
5,Chhattisgarh,156.4995
6,Goa,1.2255
7,Gujarat,116.226
8,Haryana,70.512
9,Himachal Pradesh,51.765
10,J & K,38.502
11,Jharkhand,114.6855
12,Karnataka,123.516
13,Kerala,93.15
14,Madhya Pradesh,202.3365
15,Maharashtra,149.2545
16,Manipur,60.8895
17,Meghalaya,22.527
18,Mizoram,8.26425
19,Nagaland,17.154
20,Orissa,168.1095
21,Punjab,61.4115
22,Rajasthan,115.5705
23,Sikkim,6.64875
24,Tamil Nadu,172.4145
25,Tripura,28.55925
26,Telangana,122.7285
27,Uttar Pradesh,247.479
28,Uttarakhand,57.5325
29,West Bengal,157.416
30,A & N Islands,2.6925
31,Chandigarh,2.51
32,Daman & Diu,0
33,D & NH,0
34,Delhi,56.115
35,Lakshadweep,0
36,Puducherry,6.33
,total,3257.27225
