"S.no.",State,Funds released (Rs. in lakhs),,,
,,2013-14,2014-15,2015-16,2016-17
1,Andhra Pradesh,86.58,-,42.45,24.13
2,Arunachal Pradesh,-,-,12.68,-
3,Assam,20.02,73.02,5.24,3.37
4,Bihar,-,-,80.61,16.66
5,Chhattisgarh,-,-,39.47,-
6,Gujarat,-,-,-,-
7,Himachal Pradesh,-,-,-,-
8,Haryana,-,-,26.76,5.61
9,Jammu & Kashmir,67.44,42.3,17.54,5.42
10,Jharkhand,-,-,29.96,-
11,Kerala,-,-,20.43,-
12,Karnataka,159.2,89.78,33.04,17.74
13,Madhya Pradesh,120.14,107.74,106.67,104.31
14,Maharashtra,48.12,10.22,59.43,-
15,Manipur,55.32,220.33,101.24,51.66
16,Meghalaya,-,-,-,-
17,Mizoram,-,10.56,-,-
18,Nagaland,21.77,47.67,-,-
19,Orissa,-,-,52.57,-
20,Punjab,-,74.03,27.94,-
21,Rajasthan,-,17.1,22.09,-
22,Sikkim,-,-,-,-
23,Tamil Nadu,-,-,37.09,-
24,Tripura,-,-,-,-
25,Uttaranchal,53.96,18.86,51.92,4.88
26,Uttar Pradesh,51.4,20.54,328.77,87.25
27,West Bengal,5.41,-,8.02,-
28,Delhi,-,-,65.23,9.75
29,For evaluation study,12.49,8.07,4.6,-
,total,701.85,740.22,1173.75,330.78
