,,Population of Women/Girls in Millions 2001,,,,
,,,,,,
,,,,,,
S.No.,India/ State/UT,EarlyChildhood0-6 Years,GirlChild0-19 Years,AdolescentGirl11-18 Years,,
,India,78.82,220.4,83.19,,
1,Andhra Pradesh,4.98,15.54,6.26,,
2,Arunachal Pradesh,0.1,0.27,0.1,,
3,Assam,2.21,6.12,2.28,,
4,Bihar,8.15,19.74,6.16,,
5,Chhattisgarh,1.75,4.71,1.75,,
6,Delhi,0.94,2.7,1.07,,
7,Goa,0.07,0.22,0.09,,
8,Gu,3.53,10.24,4.07,,
9,Haryana,1.5,4.45,1.8,,
10,Himachal Pradesh,0.37,1.21,0.52,,
11,Jammu & Kashmir,0.72,2.31,0.98,,
12,Jharkhand,2.43,6.35,2.19,,
13,Karnataka,3.49,10.77,4.49,,
14,Kerala,1.86,5.57,2.38,,
15,Madhya Pradesh,5.2,13.66,4.85,,
16,Maharashtra,6.52,19.18,7.75,,
17,Manipur,0.15,0.47,0.2,,
18,Meghalaya,0.23,0.61,0.22,,
19,Mizoram,0.07,0.2,0.08,,
20,Nagaland,0.14,0.48,0.21,,
21,Orissa,2.61,7.74,3.09,,
22,Pun,1.41,4.61,1.99,,
23,Ra,5.07,13.17,4.65,,
24,Sikkim,0.04,0.12,0.05,,
25,Tamil Nadu,3.51,11.18,4.73,,
26,Tripura,0.21,0.69,0.3,,
27,Uttar Pradesh,15.12,39.12,13.47,,
28,Uttarakhand,0.65,1.92,0.78,,
29,West Bengal,5.59,16.57,6.48,,
30,Andaman &Nicobar Islands,0.02,0.07,0.03,,
31,Chandigarh,0.05,0.16,0.06,,
32,Dadra & NagarHaveli,0.02,0.05,0.02,,
33,Daman & Diu,0.01,0.03,0.01,,
34,Lakshadweep,0,0.01,0.01,,
